広告ID,広告名,広告セット名,キャンペーン名,訴求名,登録経路,インプレッション,クリック,消費額,CV数,フロント販売本数,CPM,CTR(%),CVR(%),CPA,フロントCPO
1.84987E+15,箕輪 さん切り抜きTiktTok⑤【AI訴求】これ間違いです_ids6m4YB.mp4,広告セット ,【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141,AI,,9080,28,5907,0,0,650.55,0.3084,0,0,0
1.84987E+15,【11月特典】１年後悔,広告セット ,【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141,AI,,6236,16,5879,0,0,942.75,0.2566,0,0,0
1.84987E+15,【11月特典】ぼやき回答,広告セット ,11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071,AI,,3124,6,5846,0,0,1871.32,0.1921,0,0,0
1.8499E+15,250904/清水絢吾/はいそこまで_期待醸成/炎/-,広告セット 20250902064213,251115/セン/SNSまとめ(ガチャ)/LP2-CR00036,SNS,TikTok広告-SNS--,5830,26,5492,0,0,942.02,0.446,0,0,0
1.84987E+15,TT冒頭1ver_1_RWQBy0mp.mp4,広告セット ,【1126_複製】010/03 AI スマ AIまとめ(1004休日強化)  LP2-CR00022,AI,,3324,24,5466,0,0,1644.4,0.722,0,0,0
1.85004E+15,Meta9_(冒頭③_権威製2_オファーあり_社会証明あり_CTA別あり)_ut0jKnp1.mp4,独立,251121 AI スマ 二極化 検証  LP2-CR00092-95,AI,,2818,12,5049,0,0,1791.7,0.4258,0,0,0
1.84987E+15,箕輪 さん切り抜きTiktTok③【AI訴求】これ間違いです_FgOZmkS4.mp4,広告セット 20251108104919,1個の251108 AI スマ AIまとめ(箕輪＆3兆円_ピクセル1)  LP1-CR00647をコピー,AI,,4525,11,4959,0,0,1095.91,0.2431,0,0,0
1.8499E+15,タイムショック_テストなし_SNS_0n8a29mT.mp4,広告セット 20250902064213,251024/セン/SNSまとめ(勝)/LP2-CR00033,SNS,,7894,86,4823,0,0,610.97,1.0894,0,0,0
1.85004E+15,Meta41_(冒頭⑤_権威製2_オファーあり_社会証明あり_CTA別あり)_chJ8V6ZW.mp4,事業家,251121 AI スマ 二極化 検証  LP2-CR00092-95,AI,,3305,19,4560,0,0,1379.73,0.5749,0,0,0
1.85004E+15,Meta25_(冒頭④_権威製2_オファーあり_社会証明あり_CTA別あり)_ueNC0cKr.mp4,起業,251121 AI スマ 二極化 検証  LP2-CR00092-95,AI,,3765,13,4511,0,0,1198.14,0.3453,0,0,0
1.84987E+15,AIで売上3兆円を目指す_lXTaDbVS.mp4,広告セット ,11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071,AI,,3947,27,4411,0,0,1117.56,0.6841,0,0,0
1.84856E+15,251112/清水絢吾/これ間違えです(セミナー)/ホリエモン新冒頭3/-CR00076,2個の広告セット 20251112012551をコピー,251112/セミ/スマ/セミまとめ(ホリエモン新規冒頭)/LP1-CR00073-85,Unknown,,3052,12,4220,0,0,1382.7,0.3932,0,0,0
1.84987E+15,AI_Editor_1763716518303,広告セット 20251108104919,251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661,AI,,3461,12,4125,0,0,1191.85,0.3467,0,0,0
1.84987E+15,一過性のノウハウ_テストなし_AI (2)_IH1Sv7cl.mp4,広告セット ,11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071,AI,,3282,7,4079,0,0,1242.84,0.2133,0,0,0
