日付,広告セットID,広告セット名,キャンペーン名,インプレッション,クリック,コンバージョン,CTR(%),CVR(%),消費額,CPA
2025-12-01,"1849214577538194","7個の広告セット をコピー","251119 AI スマ 年商30億企業の社長  LP2-CR00076-83",19841,340,0,1.7136,0.0000,21125.00,0
2025-12-02,"1849214577538194","7個の広告セット をコピー","251119 AI スマ 年商30億企業の社長  LP2-CR00076-83",27006,420,0,1.5552,0.0000,27462.00,0
2025-12-01,"1850034732529873","事業家","251121 AI スマ 二極化 検証  LP2-CR00092-95",3293,19,0,0.5770,0.0000,4552.00,0
2025-12-02,"1850034732529873","事業家","251121 AI スマ 二極化 検証  LP2-CR00092-95",12,0,0,0.0000,0,8.00,0
2025-12-01,"1849386169555058","広告セット 20250911021302","251121/セミ/スマ/セミまとめ(新ダイジェスト)/LP2-CR00123",1304,9,0,0.6902,0.0000,3909.00,0
2025-12-02,"1849386169555058","広告セット 20250911021302","251121/セミ/スマ/セミまとめ(新ダイジェスト)/LP2-CR00123",0,0,0,0,0,0.00,0
2025-12-01,"1848015755007201","広告セットCR00042","251106/AI/タゲ/箕輪さんCR/LP2-CR00041-46",0,0,0,0,0,0.00,0
2025-12-01,"1848559940128785","2個の広告セット 20251112012551をコピー","251112/セミ/スマ/セミまとめ(ホリエモン新規冒頭)/LP1-CR00073-85",6037,26,0,0.4307,0.0000,9644.00,0
2025-12-02,"1848559940128785","2個の広告セット 20251112012551をコピー","251112/セミ/スマ/セミまとめ(ホリエモン新規冒頭)/LP1-CR00073-85",6607,31,0,0.4692,0.0000,9487.00,0
2025-12-01,"1837083932403713","広告セット 20250708100322","7/9　セン　CR410　スマ もうやめましょう",0,0,0,0,0,0.00,0
2025-12-01,"1849839361231041","冒頭②","251126/AI/これ間違いです (林社長)/LP2-CR00112-113",0,0,0,0,0,0.00,0
2025-12-02,"1849839361231041","冒頭②","251126/AI/これ間違いです (林社長)/LP2-CR00112-113",0,0,0,0,0,0.00,0
2025-12-01,"1848764617389073","2個の広告セットCR00054をコピー","251110/AI/タゲ/シーン×問題ないです/LP2-CR00054-56",6762,104,0,1.5380,0.0000,5069.00,0
2025-12-02,"1848764617389073","2個の広告セットCR00054をコピー","251110/AI/タゲ/シーン×問題ないです/LP2-CR00054-56",4574,263,0,5.7499,0.0000,5114.00,0
2025-12-01,"1849866608059570","②③①","251126 AI スマ 著名人 冒頭連続  LP2-CR000123-131",0,0,0,0,0,0.00,0
2025-12-01,"1847483544874098","広告セット ","251031 AI スマ AIまとめ(11月オファー強化_林社長関連)  LP2-CR00032",0,0,0,0,0,0.00,0
2025-12-01,"1848412997965842","1個の広告セット 20251110110930をコピー","251111 セミ タゲ CR00066-72　開催決定強化",0,0,0,0,0,0.00,0
2025-12-01,"1849868184449266","ホリエモン③","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131",6745,42,0,0.6227,0.0000,4167.00,0
2025-12-02,"1849868184449266","ホリエモン③","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131",4014,16,0,0.3986,0.0000,4129.00,0
2025-12-01,"1849237315699745","4個の1118_広告セット 20251113110929をコピー","251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108",6187,91,0,1.4708,0.0000,7278.00,0
2025-12-02,"1849237315699745","4個の1118_広告セット 20251113110929をコピー","251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108",6337,60,0,0.9468,0.0000,9375.00,0
2025-12-01,"1849825594402962","251126　ノンタゲ","251126/AI/林社長→これ間違いです/LP1-CR00663～CR00664",0,0,0,0,0,0.00,0
2025-12-01,"1848831792243890","広告セット 20251108104919","251115 AI スマ AIまとめ(11月特典_ピクセル1)  LP1-CR00656",0,0,0,0,0,0.00,0
2025-12-02,"1848831792243890","広告セット 20251108104919","251115 AI スマ AIまとめ(11月特典_ピクセル1)  LP1-CR00656",0,0,0,0,0,0.00,0
2025-12-01,"1849227464232050","Gemini","251119 AI スマ 正直に答えてね  LP2-CR00084-91",0,0,0,0,0,0.00,0
2025-12-02,"1849227464232050","Gemini","251119 AI スマ 正直に答えてね  LP2-CR00084-91",0,0,0,0,0,0.00,0
2025-12-01,"1849232731037698","1118_広告セット 20251113110929","251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108",0,0,0,0,0,0.00,0
2025-12-01,"1849840782502993","広告セット ","251126 AI スマこれ間違いです(ヒカル)  LP2-CR000115",0,0,0,0,0,0.00,0
2025-12-02,"1848098024293441","広告セット 20250902064213","251107/セン/SNSまとめ(直近の勝ち)/LP2-CR00034",0,0,0,0,0,0.00,0
2025-12-01,"1849689122806002","広告セット 20251112012551","251112/セミ/スマ/緊急動画/LP2-CR00126",0,0,0,0,0,0.00,0
2025-12-01,"1848372851324945","広告セット 20250902064213","251024/セン/SNSまとめ(勝)/LP2-CR00033",79288,515,0,0.6495,0.0000,68024.00,0
2025-12-02,"1848372851324945","広告セット 20250902064213","251024/セン/SNSまとめ(勝)/LP2-CR00033",63878,358,0,0.5604,0.0000,62056.00,0
2025-12-01,"1849837057451202","新ダイジェスト_権威_新BGM","251113/セミ/スマ/おい会社員 LPテスト用/LP1-CR00099",11599,48,0,0.4138,0.0000,10036.00,0
2025-12-02,"1849837057451202","新ダイジェスト_権威_新BGM","251113/セミ/スマ/おい会社員 LPテスト用/LP1-CR00099",6106,44,0,0.7206,0.0000,12141.00,0
2025-12-01,"1849391750530210","3個のホリエモン BGM1をコピー","【テスト】251121 AI スマ 著名人 AI学ぶな  LP2-CR00096",0,0,0,0,0,0.00,0
2025-12-01,"1848562163155362","ALL配信","1個の251111 AI スマ これから化ける  LP2-CR00063",0,0,0,0,0,0.00,0
2025-12-02,"1848562163155362","ALL配信","1個の251111 AI スマ これから化ける  LP2-CR00063",0,0,0,0,0,0.00,0
2025-12-01,"1848683538615618","5個の広告セット 20251113104424をコピー","251113/セミ/スマ/おい会社員(穏)_冒頭テスト/LP1-CR00088-95",0,0,0,0,0,0.00,0
