日付,広告セットID,広告セット名,キャンペーン名,インプレッション,クリック,コンバージョン,CTR(%),CVR(%),消費額,CPA
2025-12-01,"1847371694313570","広告セット 20250911021302","【複製_1030】251024/セミ/スマ/セミまとめ(10/25休日強化_tCPA)/LP1-CR00018をコピー",0,0,0,0,0,0.00,0
2025-12-01,"1849817675870482","251126　ノンタゲ","251126 セン タゲ CR544　大学生の時の俺へ",1794,29,0,1.6165,0.0000,3164.00,0
2025-12-02,"1849817675870482","251126　ノンタゲ","251126 セン タゲ CR544　大学生の時の俺へ",1752,30,0,1.7123,0.0000,3303.00,0
2025-12-01,"1848112546803793","広告セットCR00049-53","251106/AI/タゲ/天才CR/LP2-CR00049-53",0,0,0,0,0,0.00,0
2025-12-02,"1848112546803793","広告セットCR00049-53","251106/AI/タゲ/天才CR/LP2-CR00049-53",0,0,0,0,0,0.00,0
2025-12-01,"1848673395696673","4個の広告セットCR00045-55をコピー","251108/セミ/ダイジェスト冒頭テスト/LP2-CR00045-55",829,5,0,0.6031,0.0000,3055.00,0
2025-12-02,"1848673395696673","4個の広告セットCR00045-55をコピー","251108/セミ/ダイジェスト冒頭テスト/LP2-CR00045-55",1046,5,0,0.4780,0.0000,3043.00,0
2025-12-01,"1849826222741858","251126　ノンタゲ","251126/AI/林社長→AI学ぶな/LP1-CR00665～CR00666",0,0,0,0,0,0.00,0
2025-12-02,"1849826222741858","251126　ノンタゲ","251126/AI/林社長→AI学ぶな/LP1-CR00665～CR00666",0,0,0,0,0,0.00,0
2025-12-01,"1847933306018930","広告セットCR00040","251105/AI/タゲ/ホリエモンCR/LP2-CR00038-40",0,0,0,0,0,0.00,0
2025-12-01,"1849868184452274","ヒカルさん①","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131",3637,14,0,0.3849,0.0000,4009.00,0
2025-12-02,"1849868184452274","ヒカルさん①","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131",3298,16,0,0.4851,0.0000,4005.00,0
2025-12-01,"1849868184450226","箕輪さん③","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131",4196,24,0,0.5720,0.0000,3462.00,0
2025-12-02,"1849868184450226","箕輪さん③","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131",4552,24,0,0.5272,0.0000,3945.00,0
2025-12-01,"1848097128754178","広告セット ","251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048",0,0,0,0,0,0.00,0
2025-12-01,"1848764617387057","1個の広告セットCR00054をコピー","251110/AI/タゲ/シーン×問題ないです/LP2-CR00054-56",0,0,0,0,0,0.00,0
2025-12-02,"1848764617387057","1個の広告セットCR00054をコピー","251110/AI/タゲ/シーン×問題ないです/LP2-CR00054-56",0,0,0,0,0,0.00,0
2025-12-01,"1847932688504898","広告セットCR00038","251105/AI/タゲ/ホリエモンCR/LP2-CR00038-40",0,0,0,0,0,0.00,0
2025-12-02,"1847932688504898","広告セットCR00038","251105/AI/タゲ/ホリエモンCR/LP2-CR00038-40",0,0,0,0,0,0.00,0
2025-12-01,"1849830682948689","冒頭①","251126/AI/AI学ぶな (林社長)/LP2-CR00110-111",0,0,0,0,0,0.00,0
2025-12-02,"1849830682948689","冒頭①","251126/AI/AI学ぶな (林社長)/LP2-CR00110-111",0,0,0,0,0,0.00,0
2025-12-01,"1848584841939106","広告セット ","251112 AI スマ 1年後悔  LP2-CR00064-66",34742,181,0,0.5210,0.0000,37285.00,0
2025-12-02,"1848584841939106","広告セット ","251112 AI スマ 1年後悔  LP2-CR00064-66",42441,183,0,0.4312,0.0000,56069.00,0
2025-12-01,"1850033775192065","独立","251121 AI スマ 二極化 検証  LP2-CR00092-95",2817,12,0,0.4260,0.0000,5049.00,0
2025-12-02,"1850033775192065","独立","251121 AI スマ 二極化 検証  LP2-CR00092-95",1,0,0,0.0000,0,0.00,0
2025-12-01,"1848097049843745","広告セット ","251107 AI スマ AIまとめ(ホリエモン関連)  LP2-CR00047",0,0,0,0,0,0.00,0
2025-12-02,"1848097049843745","広告セット ","251107 AI スマ AIまとめ(ホリエモン関連)  LP2-CR00047",0,0,0,0,0,0.00,0
2025-12-01,"1849866608059538","②①③","251126 AI スマ 著名人 冒頭連続  LP2-CR000123-131",0,0,0,0,0,0.00,0
2025-12-01,"1848499600524338","広告セット ","1個の010/03 AI スマ AIまとめ(1004休日強化)  LP2-CR00022をコピー",0,0,0,0,0,0.00,0
2025-12-02,"1848499600524338","広告セット ","1個の010/03 AI スマ AIまとめ(1004休日強化)  LP2-CR00022をコピー",0,0,0,0,0,0.00,0
2025-12-01,"1848554515313842","広告セットCR00059-65","251109/セミ/間違っているパターン/LP2-CR00059-65",0,0,0,0,0,0.00,0
2025-12-01,"1850036644710642","広告セット 20251108104919","251128 AI スマ AIまとめ(著名人)  LP1-CR00673",80053,463,0,0.5784,0.0000,63434.00,0
2025-12-02,"1850036644710642","広告セット 20251108104919","251128 AI スマ AIまとめ(著名人)  LP1-CR00673",84231,508,0,0.6031,0.0000,69574.00,0
2025-12-01,"1850035544492082","広告セット ","251128 AI スマ 1年後悔  LP2-CR00137",3661,19,0,0.5190,0.0000,5016.00,0
2025-12-02,"1850035544492082","広告セット ","251128 AI スマ 1年後悔  LP2-CR00137",4274,20,0,0.4679,0.0000,5062.00,0
2025-12-01,"1849389096006978","1個の広告セット 20250902064213をコピー","251121/セン/アルゴリズム破壊(2026)/LP2-CR0004041",7956,30,0,0.3771,0.0000,11026.00,0
2025-12-02,"1849389096006978","1個の広告セット 20250902064213をコピー","251121/セン/アルゴリズム破壊(2026)/LP2-CR0004041",8048,29,0,0.3603,0.0000,11055.00,0
