広告ID,広告名,CR名,LP名,登録経路,配信開始日,初動終了日,初動3日間費用,初動3日間CV数,初動3日間CPA
1.85136E+15,251213/清水絢吾/二極化 セミナー/冒頭4/LP2-CR00155,CR00155,LP2,TikTok広告-スキルプラス-LP2-CR00155,2025/12/13,2025/12/15,11774,0,N/A
1.85136E+15,251213/清水絢吾/二極化 セミナー/冒頭5/LP2-CR00156,CR00156,LP2,TikTok広告-スキルプラス-LP2-CR00156,2025/12/13,2025/12/15,10940,0,N/A
1.85136E+15,251213/清水絢吾/二極化 セミナー/冒頭6/LP2-CR00157,CR00157,LP2,TikTok広告-スキルプラス-LP2-CR00157,2025/12/13,2025/12/15,12548,0,N/A
1.85147E+15,251214/清水絢吾/スマプラ/セミナーガチャ/LP2-CR00158,CR00158,LP2,TikTok広告-スキルプラス-LP2-CR00158,2025/12/14,2025/12/16,124321,0,N/A
1.85147E+15,251214/清水絢吾/スマプラ/セミナーガチャ/LP2-CR00158,CR00158,LP2,TikTok広告-スキルプラス-LP2-CR00158,2025/12/14,2025/12/16,25,0,N/A
1.85154E+15,251215/清水絢吾/はいそこまで(セミナー)//LP2-CR00159,CR00159,LP2,TikTok広告-スキルプラス-LP2-CR00159,2025/12/15,2025/12/17,27125,0,N/A
1.85193E+15,251215/清水絢吾/はいそこまで(セミナー)//LP2-CR00159,CR00159,LP2,TikTok広告-スキルプラス-LP2-CR00159,2025/12/20,2025/12/22,32534,0,N/A
1.85154E+15,251215/清水絢吾/ドキッとすることをいうやつ/BGMなし/LP2-CR00160,CR00160,LP2,TikTok広告-スキルプラス-LP2-CR00160,2025/12/15,2025/12/17,24249,0,N/A
1.85154E+15,251215/清水絢吾/ドキッとすることをいうやつ/BGMあり/LP2-CR00161,CR00161,LP2,TikTok広告-スキルプラス-LP2-CR00161,2025/12/15,2025/12/17,24038,0,N/A
1.85165E+15,251216/清水絢吾/これ間違いです/ホリエモン１/LP2-CR00162,CR00162,LP2,TikTok広告-スキルプラス-LP2-CR00162,2025/12/16,2025/12/18,24228,0,N/A
1.85165E+15,251216/清水絢吾/これ間違いです/ホリエモン３/LP2-CR00163,CR00163,LP2,TikTok広告-スキルプラス-LP2-CR00163,2025/12/16,2025/12/18,21997,0,N/A
1.85209E+15,251221/清水絢吾/意味ないです/冒頭1/LP2-CR00164,CR00164,LP2,TikTok広告-スキルプラス-LP2-CR00164,2025/12/21,2025/12/23,15113,0,N/A
1.85209E+15,251221/清水絢吾/意味ないです/冒頭2/LP2-CR00165,CR00165,LP2,TikTok広告-スキルプラス-LP2-CR00165,2025/12/21,2025/12/23,15129,0,N/A
1.85209E+15,251221/清水絢吾/意味ないです/冒頭3/LP2-CR00166,CR00166,LP2,TikTok広告-スキルプラス-LP2-CR00166,2025/12/21,2025/12/23,15013,0,N/A
1.85209E+15,251221/清水絢吾/本質足りていない/冒頭1/LP2-CR00167,CR00167,LP2,TikTok広告-スキルプラス-LP2-CR00167,2025/12/21,2025/12/23,15153,0,N/A
1.85209E+15,251221/清水絢吾/本質足りていない/冒頭1/LP2-CR00167,CR00167,LP2,TikTok広告-スキルプラス-LP2-CR00167,2025/12/21,2025/12/23,15082,0,N/A
1.85209E+15,251221/清水絢吾/本質足りていない/冒頭2/LP2-CR00168,CR00168,LP2,TikTok広告-スキルプラス-LP2-CR00168,2025/12/21,2025/12/23,15402,0,N/A
1.85209E+15,251221/清水絢吾/開催決定ver2/冒頭1/LP2-CR00171,CR00171,LP2,TikTok広告-スキルプラス-LP2-CR00171,2025/12/21,2025/12/23,15081,0,N/A
1.85272E+15,251221/清水絢吾/開催決定ver2/冒頭2/LP2-CR00172,CR00172,LP2,TikTok広告-スキルプラス-LP2-CR00172,2025/12/28,2025/12/30,15147,0,N/A
1.85209E+15,251221/清水絢吾/開催決定ver2/冒頭2/LP2-CR00172,CR00172,LP2,TikTok広告-スキルプラス-LP2-CR00172,2025/12/21,2025/12/23,15088,0,N/A
1.85209E+15,251221/清水絢吾/開催決定ver2/冒頭3/LP2-CR00173,CR00173,LP2,TikTok広告-スキルプラス-LP2-CR00173,2025/12/21,2025/12/23,15048,0,N/A
1.85272E+15,251221/清水絢吾/開催決定ver2/冒頭4/LP2-CR00174,CR00174,LP2,TikTok広告-スキルプラス-LP2-CR00174,2025/12/28,2025/12/30,49405,0,N/A
