広告名,コスト,インプレッション,CPM,CTR,CPA,フロント販売本数,フロントCPO
AI全部やめました渋谷Ver/LP1-CR01199,8814,11310,779,0.30％,8814,0,0
AI全部やめました渋谷Ver/LP1-CR01200,3007,4251,707,0.38％,0,0,0
AI全部やめました渋谷Ver/LP1-CR01201,3061,3265,938,0.09％,0,0,0
AI全部やめました渋谷Ver/LP1-CR01202,3073,4153,740,0.46％,0,0,0
AI全部やめました渋谷Ver/LP1-CR01203,3046,3447,884,0.49％,0,0,0
